jerusalem,460.9418415683333,442.970707285
ramallah,460.8764412791666,443.23055524416674
jaffa,459.92503863,443.5260767875
acre,460.62032428833334,445.37476206750006
tulkarem,460.5173373208333,444.0841487233334
qalqilya,460.4233299333333,443.8474310416666
bethlehem,460.89991844333326,442.8149437966666
salfit,460.8377103083334,443.6117504083333
jenin,461.0956205166667,444.3994400725
nablus,461.00860759833336,443.89461193
lod,460.21855138861883,443.3282498825
safad,461.5344158916667,445.4510179591667
tubas,461.24728906666667,444.10253070833335
hebron,460.66069363416665,442.44795335000003
jericho,461.4076849083333,443.1389354333333
